AED_ID,review_confidence_score,reviewer_decision,reviewed_at
718828-002,0.4049999999999999,confirmed_real_issue,2026-08-08T15:45:14.942809
718828-001,0.4045407772523982,confirmed_real_issue,2026-08-08T15:45:28.190731
485995-001,0.4028220455252103,confirmed_real_issue,2026-08-08T15:47:21.324697
118176-003,0.3886929705658074,confirmed_real_issue,2026-08-08T15:47:24.828008
485998-001,0.386445152828658,confirmed_real_issue,2026-08-08T15:47:26.785792
118176-004,0.3851015439130783,confirmed_real_issue,2026-08-08T15:47:32.789383
039593-005,0.3843535647389077,confirmed_real_issue,2026-08-08T15:47:40.176583
039593-007,0.3839083063622748,false_positive,2026-08-08T15:47:48.509028
039593-008,0.3839083063622748,confirmed_real_issue,2026-08-08T15:47:52.839494
118176-002,0.3832868059721825,confirmed_real_issue,2026-08-08T15:47:57.275983
455246-101,0.3832623610471501,confirmed_real_issue,2026-08-08T15:48:06.228154
718925-002,0.382668521975704,confirmed_real_issue,2026-08-08T15:48:19.142176
718925-001,0.3751784532465242,confirmed_real_issue,2026-08-08T15:52:01.618656
039593-006,0.3711839155395611,confirmed_real_issue,2026-08-08T15:52:12.215061
118176-001,0.3699845632927862,confirmed_real_issue,2026-08-08T15:52:19.956419
578774-002,0.3683817524498099,false_positive,2026-08-08T15:52:38.405724
689809-001,0.365983384736351,false_positive,2026-08-08T15:52:46.041708
039593-002,0.3650206462359903,confirmed_real_issue,2026-08-08T15:53:02.890252
039593-003,0.3597674255677269,confirmed_real_issue,2026-08-08T15:53:11.982288
528704-003,0.3588715466635497,confirmed_real_issue,2026-08-08T15:53:17.596913
039593-004,0.3581691958636092,confirmed_real_issue,2026-08-08T15:53:29.551413
718828-001,0.4049999999999999,confirmed_real_issue,2026-08-08T21:43:18.685338
528704-001,0.357778414000052,confirmed_real_issue,2026-08-08T21:43:44.136136
718828-001,0.4049999999999999,confirmed_real_issue,2026-08-08T21:46:23.675822
718828-001,0.4049999999999999,confirmed_real_issue,2026-08-08T21:58:20.976715
718828-001,0.4049999999999999,confirmed_real_issue,2026-08-08T21:58:33.367375
718828-001,0.4049999999999999,confirmed_real_issue,2026-08-08T21:59:10.993383
719920-001,0.3572770932815964,confirmed_real_issue,2026-08-08T22:13:10.298419
639937-007,0.3513742905653052,confirmed_real_issue,2026-08-08T22:13:18.816259
649036-004,0.3520134603250582,confirmed_real_issue,2026-08-08T22:13:34.379101
288303-004,0.3524899231295725,confirmed_real_issue,2026-08-08T22:26:57.615449
637718-002,0.2808561788776905,false_positive,2026-08-08T22:27:34.401081
636921-001,0.2951493949939791,false_positive,2026-08-08T22:27:40.604409
